A1H,VISUAL ART STUDIO,A2H,VISUAL ART STUDIO
A3H,VISUAL ART STUDIO,A4H,VISUAL ART STUDIO
A5H,VISUAL ART STUDIO,A6H,VISUAL ART STUDIO
AAHAP,AP ART HISTORY,AAHAP,AP ART HISTORY
ADAN6,DANCE,ADAN6,DANCE
ADR9,DRAWING,ADR,LIFE DRAWING
ADRM6,DRAMA MS,ADRM6,DRAMA MS
AE10,ART ELECTIVE,,
AFL6,TV/VIDEO PRODUCTON,AFL6,TV/VIDEO PRODUCTON
AFL7,TV/VIDEO PRODUCTON,AFL7,TV/VIDEO PRODUCTON
AM1H,MEDIA,AM2H,MEDIA
AM3H,MEDIA,AM4H,MEDIA
AM5H,MEDIA,AM6H,MEDIA
AMA,MEDIA ARTS,AMA,MEDIA ARTS
AMA6,MEDIA ARTS ELECTIVE,AMA6,MEDIA ARTS ELECTIVE
,,AMMB,MAGIC BOX
AO6H,Art 6,AO6H,Art 6
AO7H,Art 7,AO7H,Art 7
AOA,ART OPEN ACCESS,,
AP1,PAINTING,,
APF1,PORTFOLIO,,
APH,DIGITAL PHOTO,APH,DIGITAL PHOTO
APM1,PRINT MAKING 1,APM2,PRINT MAKING 2
APW,PUBLIC WORKS,APW,PUBLIC WORKS
,,ASC,SCULPTURE
ASD6,SET DESIGN MS,ASD6,SET DESIGN MS
AU1H,MUSIC,AU2H,MUSIC
AU3H,MUSIC,AU4H,MUSIC
AU5H,MUSIC,AU6,MUSIC
AU6H,REQUIRED MUSIC,AU6H,REQUIRED MUSIC
AUD,SENIOR BAND,AUD,SENIOR BAND
AUD6,BAND MS,AUD6,BAND MS
AUG,GUITAR,,
AUG6,GUITAR,AUG6,GUITAR
AUMI,MUSIC OF INDIA,AUMI,MUSIC OF INDIA
AUP8,Keyboard 8,AUP8,Keyboard 8
AUV,CHORUS,AUV,CHORUS
AUV6,MS CHORUS,AUV6,MS CHORUS
,,AUX,PERCUSSION
E1H,ENG 9 HONORS,E2H,ENG 9 HONORS
E3H,ENG 10  HONORS,E4H,ENG 10 Term 2 Honors
E5H,AP ENG LANG & COMP,E6H,AP ENG LANG & COMP
E7,ENGLISH 12,E8,ENGLISH 12
E7H,AP ENG LITERATURE,E8H,AP ENG LITERATURE
EAIS,ELA SKILLS,EAIS,ELA SKILLS
EBC6,BOOK CLUB,EBC6,BOOK CLUB
EEAV,ENG ADVISORY,EEAV,ENG ADVISORY
EEW6,LIBRARY/TECH,EEW6,LIBRARY/TECH
ENEWS,NEWSPAPER PUBLISHING,ENEWS,NEWSPAPER PUBLISHING
ENEWS6,NEWSPAPER MS,ENEWS6,NEWSPAPER MS
EO6H,HUMANITIES 6 HONORS,EO6H,HUMANITIES 6 HONORS
EO7H,HUMANITIES 7 HONORS,EO7H,HUMANITIES 7 HONORS
EO8H,HUMANITIES 8 HONORS,EO8H,HUMANITIES 8 HONORS
EXRLR,ELA REG JAN,,
EYB6,YEARBOOK MS,EYB6,YEARBOOK MS
FO8SACC,SPANISH YR1,FO8SACC,SPANISH YR1
FS17,SPANISH GR 7 HONORS,FS17,SPANISH GR 7 HONORS
FS3,SPANISH II TERM 1,FS4,SPANISH II TERM 2
FS5,SPANISH III TERM 1,FS6,SPANISH III TERM 2
FS7,SPANISH IV TERM 1,FS8,SPANISH IV TERM 2
H1$H,GLOBAL 1H,H2$H,GLOBAL 2H
H5H,US HISTORY,H6H,US HISTORY TERM 2
H7H,AP US GOVT,H8H,AP US GOVT
HO6H,World History,HO6H,World History
HO7H,US HISTORY HONORS,HO7H,US HISTORY HONORS
HO8H,US HISTORY 8 Honors,HO8H,US HISTORY 8 Honors
HUS1AP,AP US HIST,HUS2AP,AP US HIST
MCAL1,AP CALC,MCAL2,AP CALC
MG21,GEOMETRY,MG22,GEOMETRY
MMPF1,PERSONAL FINANCE,MMPF2,PERSONAL FINANCE
MO6H,MATH 6 HONORS,MO6H,MATH 6 HONORS
MO7H,MATH 7 HONORS,MO7H,MATH 7 HONORS
MO8AACC,INTEGRATED ALGEBRA,MO8AACC,INTEGRATED ALGEBRA
,,MPCAL,PRE CALCULUS
MPCAL,PRE CALCULUS,MPCAL2,PRE CALCULUS
MR21,ADV ALG/TRIG,MR22,ADV ALG/TRIG
MR22,AdvALG&TRIG TRM 2of2,MR23,ALG2 TRIG TERM 3
MST1,AP STATISTICS,MST2,AP STATISTICS
MXRER,ALGEBRA REG JAN,,
MXRGR,GEOMETRY REG JAN,,
MXRTR,TRIG REG JAN,,
P6,GYM ELECTIVE,P6,GYM ELECTIVE
P6C2,PHYS ED 6,P6C2,PHYS ED 6
P7C2,PHYS ED 7,P7C2,PHYS ED 7
P8C2,PHYS ED 8,P8C2,PHYS ED 8
PER7,PE ROTATION 7,PER7,PE ROTATION 7
PER8,PE ROTATION 8,PER8,PE ROTATION 8
PFIT,FITNESS & WELLNESS,PFIT,FITNESS & WELLNESS
PH,HEALTH,PH,HEALTH
PP1,PHYS ED 9,PP2,PHYS ED 9
PP3,PHYS ED 10,PP4,PHYS ED 10
PP5,PHYS ED 11,PP6,PHYS ED 11
PP7,PHYS ED 12,PP8,PHYS ED 12
SB1AP,AP BIO,SB2AP,AP BIO
SC1AP,AP CHEM,SC2AP,AP CHEM
SC1APLAB,AP CHEM LAB,,
SC1H,CHEM 1 H,SC2H,CHEM 2 H
SCLB,CHEMLAB,SCLB,CHEMLAB
SE1H,EARTH SCI,SE2H,EARTH SCI
SE1HLAB,EARTH SCI,,
SENV1,ENVIRONMENTAL SCIENCE,SENV2,ENVIRONMENTAL SCIENCE 2
SO6H,SCI 6 HONORS,SO6H,SCI 6 HONORS
SO7H,SCI 7 HONORS,SO7H,SCI 7 HONORS
SO8H,LIFE SCIENCE 8,,
SO8LACC,LIVING ENVIRONMENT,SO8LACC,LIVING ENVIRONMENT
SP1,PHYSICS TERM 1,SP2,PHYSICS TERM 2
SPL,PHYS LAB,SPL,PHYS LAB
STF1,FORENSIC SCIENCE,STF2,FORENSIC SCIENCE 2
SXRKR,LIVENVIR R JAN,,
SXRXR,CHEMISTRY R JAN,,
SY1AP,AP PSYCHOLOGY,SYF,PSYCHOLOGY AND FILM
T6Q,COMPUTER/ TECH,T6Q,COMPUTER/ TECH
T7Q,TECH 7,T7Q,TECH 7
TE6,TECH ELECTIVE,TE6,TECH ELECTIVE
TROB,MOBILE ROBOTICS,TROB,MOBILE ROBOTICS
,,TWD1,WEB DESIGN INTRO
TW1,TECH ELECTIVE,,
